"","cycle","state","state_abb","party","vote_share","total_votes","election_day","incumbant_party","winning_party","state_winner","run_date"
"111",1948,"Massachusetts","MA","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"112",1948,"Massachusetts","MA","progressive",0.0181083797705522,38157,1948-11-07,"dem","dem","dem",2021-01-18
"113",1948,"Massachusetts","MA","socialist",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"114",1948,"Massachusetts","MA","other",0.00371640123655409,7831,1948-11-07,"dem","dem","dem",2021-01-18
"115",1948,"Michigan","MI","dem",0.475655915385268,1003448,1948-11-07,"dem","dem","rep",2021-01-18
"116",1948,"Michigan","MI","rep",0.492316348669351,1038595,1948-11-07,"dem","dem","rep",2021-01-18
"117",1948,"Michigan","MI","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"118",1948,"Michigan","MI","progressive",0.0220491095743334,46515,1948-11-07,"dem","dem","rep",2021-01-18
"119",1948,"Michigan","MI","socialist",0.00287399228956646,6063,1948-11-07,"dem","dem","rep",2021-01-18
"120",1948,"Michigan","MI","other",0.00710463408148145,14988,1948-11-07,"dem","dem","rep",2021-01-18
"121",1948,"Minnesota","MN","dem",0.571647531070939,692966,1948-11-07,"dem","dem","dem",2021-01-18
"122",1948,"Minnesota","MN","rep",0.398949535812629,483617,1948-11-07,"dem","dem","dem",2021-01-18
"123",1948,"Minnesota","MN","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"124",1948,"Minnesota","MN","progressive",0.0229874627338467,27866,1948-11-07,"dem","dem","dem",2021-01-18
"125",1948,"Minnesota","MN","socialist",0.00383261867011597,4646,1948-11-07,"dem","dem","dem",2021-01-18
"126",1948,"Minnesota","MN","other",0.00258285171246946,3131,1948-11-07,"dem","dem","dem",2021-01-18
"127",1948,"Mississippi","MS","dem",0.100858525417556,19384,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"128",1948,"Mississippi","MS","rep",0.0262396586711067,5043,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"129",1948,"Mississippi","MS","dixiecrat",0.871731099432853,167538,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"130",1948,"Mississippi","MS","progressive",0.00117071647848483,225,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"131",1948,"Mississippi","MS","socialist",0,0,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"132",1948,"Mississippi","MS","other",0,0,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"133",1948,"Missouri","MO","dem",0.581083700529827,917315,1948-11-07,"dem","dem","dem",2021-01-18
"134",1948,"Missouri","MO","rep",0.4149419622609,655039,1948-11-07,"dem","dem","dem",2021-01-18
"135",1948,"Missouri","MO","dixiecrat",0.0000266053813818075,42,1948-11-07,"dem","dem","dem",2021-01-18
"136",1948,"Missouri","MO","progressive",0.00253257892296348,3998,1948-11-07,"dem","dem","dem",2021-01-18
"137",1948,"Missouri","MO","socialist",0.00140755136738991,2222,1948-11-07,"dem","dem","dem",2021-01-18
"138",1948,"Missouri","MO","other",0.00000760153753765928,12,1948-11-07,"dem","dem","dem",2021-01-18
"139",1948,"Montana","MT","dem",0.530908069449523,119071,1948-11-07,"dem","dem","dem",2021-01-18
"140",1948,"Montana","MT","rep",0.431473439213833,96770,1948-11-07,"dem","dem","dem",2021-01-18
"141",1948,"Montana","MT","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"142",1948,"Montana","MT","progressive",0.0326068539937042,7313,1948-11-07,"dem","dem","dem",2021-01-18
"143",1948,"Montana","MT","socialist",0.00309883269870429,695,1948-11-07,"dem","dem","dem",2021-01-18
"144",1948,"Montana","MT","other",0.00191280464423617,429,1948-11-07,"dem","dem","dem",2021-01-18
"145",1948,"Nebraska","NE","dem",0.45847138708226,224165,1948-11-07,"dem","dem","rep",2021-01-18
"146",1948,"Nebraska","NE","rep",0.541526567677016,264774,1948-11-07,"dem","dem","rep",2021-01-18
"147",1948,"Nebraska","NE","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"148",1948,"Nebraska","NE","progressive",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"149",1948,"Nebraska","NE","socialist",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"150",1948,"Nebraska","NE","other",0.00000204524072483331,1,1948-11-07,"dem","dem","rep",2021-01-18
"151",1948,"Nevada","NV","dem",0.503742936716197,31291,1948-11-07,"dem","dem","dem",2021-01-18
"152",1948,"Nevada","NV","rep",0.472608142698456,29357,1948-11-07,"dem","dem","dem",2021-01-18
"153",1948,"Nevada","NV","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"154",1948,"Nevada","NV","progressive",0.023648920585347,1469,1948-11-07,"dem","dem","dem",2021-01-18
"155",1948,"Nevada","NV","socialist",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"156",1948,"Nevada","NV","other",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"157",1948,"New Hampshire","NH","dem",0.466622018665745,107995,1948-11-07,"dem","dem","rep",2021-01-18
"158",1948,"New Hampshire","NH","rep",0.52410559972347,121299,1948-11-07,"dem","dem","rep",2021-01-18
"159",1948,"New Hampshire","NH","dixiecrat",0.0000302454199792603,7,1948-11-07,"dem","dem","rep",2021-01-18
"160",1948,"New Hampshire","NH","progressive",0.00851192533702039,1970,1948-11-07,"dem","dem","rep",2021-01-18
"161",1948,"New Hampshire","NH","socialist",0.000371586588316626,86,1948-11-07,"dem","dem","rep",2021-01-18
"162",1948,"New Hampshire","NH","other",0.000358624265468372,83,1948-11-07,"dem","dem","rep",2021-01-18
"163",1948,"New Jersey","NJ","dem",0.459312509777872,895455,1948-11-07,"dem","dem","rep",2021-01-18
"164",1948,"New Jersey","NJ","rep",0.503255358274068,981124,1948-11-07,"dem","dem","rep",2021-01-18
"165",1948,"New Jersey","NJ","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"166",1948,"New Jersey","NJ","progressive",0.0218937142065753,42683,1948-11-07,"dem","dem","rep",2021-01-18
"167",1948,"New Jersey","NJ","socialist",0.0053966161508652,10521,1948-11-07,"dem","dem","rep",2021-01-18
"168",1948,"New Jersey","NJ","other",0.0101418015906194,19772,1948-11-07,"dem","dem","rep",2021-01-18
"169",1948,"New Mexico","NM","dem",0.563788670127176,105464,1948-11-07,"dem","dem","dem",2021-01-18
"170",1948,"New Mexico","NM","rep",0.429283182671079,80303,1948-11-07,"dem","dem","dem",2021-01-18
"171",1948,"New Mexico","NM","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"172",1948,"New Mexico","NM","progressive",0.00554358691991468,1037,1948-11-07,"dem","dem","dem",2021-01-18
"173",1948,"New Mexico","NM","socialist",0.000443700785296932,83,1948-11-07,"dem","dem","dem",2021-01-18
"174",1948,"New Mexico","NM","other",0.000940859496533253,176,1948-11-07,"dem","dem","dem",2021-01-18
"175",1948,"New York","NY","dem",0.450065133244309,2780204,1948-11-07,"dem","dem","rep",2021-01-18
"176",1948,"New York","NY","rep",0.459933301356232,2841163,1948-11-07,"dem","dem","rep",2021-01-18
"177",1948,"New York","NY","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"178",1948,"New York","NY","progressive",0.0824884574048656,509559,1948-11-07,"dem","dem","rep",2021-01-18
"179",1948,"New York","NY","socialist",0.00661757647348688,40879,1948-11-07,"dem","dem","rep",2021-01-18
"180",1948,"New York","NY","other",0.000895531521106911,5532,1948-11-07,"dem","dem","rep",2021-01-18
"181",1948,"North Carolina","NC","dem",0.580213319110374,459070,1948-11-07,"dem","dem","dem",2021-01-18
"182",1948,"North Carolina","NC","rep",0.326806191537255,258572,1948-11-07,"dem","dem","dem",2021-01-18
"183",1948,"North Carolina","NC","dixiecrat",0.0880323656581257,69652,1948-11-07,"dem","dem","dem",2021-01-18
"184",1948,"North Carolina","NC","progressive",0.00494812369424514,3915,1948-11-07,"dem","dem","dem",2021-01-18
"185",1948,"North Carolina","NC","socialist",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"186",1948,"North Carolina","NC","other",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"187",1948,"North Dakota","ND","dem",0.43409630475362,95812,1948-11-07,"dem","dem","rep",2021-01-18
"188",1948,"North Dakota","ND","rep",0.521661320429874,115139,1948-11-07,"dem","dem","rep",2021-01-18
"189",1948,"North Dakota","ND","dixiecrat",0.00169448522082676,374,1948-11-07,"dem","dem","rep",2021-01-18
"190",1948,"North Dakota","ND","progressive",0.0380171804490839,8391,1948-11-07,"dem","dem","rep",2021-01-18
"191",1948,"North Dakota","ND","socialist",0.00453070914659563,1000,1948-11-07,"dem","dem","rep",2021-01-18
"192",1948,"North Dakota","ND","other",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"193",1948,"Ohio","OH","dem",0.494807857166942,1452791,1948-11-07,"dem","dem","dem",2021-01-18
"194",1948,"Ohio","OH","rep",0.492387275375834,1445684,1948-11-07,"dem","dem","dem",2021-01-18
"195",1948,"Ohio","OH","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"196",1948,"Ohio","OH","progressive",0.0128048674572243,37596,1948-11-07,"dem","dem","dem",2021-01-18
"197",1948,"Ohio","OH","socialist",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"198",1948,"Ohio","OH","other",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"199",1948,"Oklahoma","OK","dem",0.62747038174942,452782,1948-11-07,"dem","dem","dem",2021-01-18
"200",1948,"Oklahoma","OK","rep",0.37252961825058,268817,1948-11-07,"dem","dem","dem",2021-01-18
"201",1948,"Oklahoma","OK","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
