"","run_date","cycle","state","spread_mu","spread_se","spread_t_dist","spread_start","spread_end","spread_z"
"39",2021-01-11,2024,"Oklahoma",0.367671211770753,0.0654561643097743,0.118636753059839,0.249034458710914,0.486307964830592,1.81246112281168
"40",2021-01-11,2024,"Oregon",-0.17969843021284,0.0372453534293262,0.0675057550960342,-0.247204185308874,-0.112192675116805,1.81246112281168
"41",2021-01-11,2024,"Pennsylvania",-0.0608149623611189,0.0355733735737215,0.0644753566096265,-0.125290318970745,0.00366039424850757,1.81246112281168
"42",2021-01-11,2024,"Rhode Island",-0.287871812237306,0.0550767428066465,0.0998244551081444,-0.38769626734545,-0.188047357129161,1.81246112281168
"43",2021-01-11,2024,"South Carolina",0.161831823651664,0.0667482633543037,0.120978632344871,0.0408531913067937,0.282810455996535,1.81246112281168
"44",2021-01-11,2024,"South Dakota",0.2331231548572,0.0662334482871736,0.12004555005026,0.11307760480694,0.35316870490746,1.81246112281168
"45",2021-01-11,2024,"Tennessee",0.258965910442857,0.0549005587326012,0.0995051283234786,0.159460782119378,0.358471038766336,1.81246112281168
"46",2021-01-11,2024,"Texas",0.130537053042043,0.0571723579591859,0.103622676100497,0.0269143769415459,0.23415972914254,1.81246112281168
"47",2021-01-11,2024,"Utah",0.260474606336232,0.0790252985966594,0.143230281425029,0.117244324911203,0.403704887761261,1.81246112281168
"48",2021-01-11,2024,"Vermont",-0.450599003650833,0.052708915020602,0.0955328593004254,-0.546131862951258,-0.355066144350408,1.81246112281168
"49",2021-01-11,2024,"Virginia",-0.0909773331458315,0.0493943303843589,0.0895253035089661,-0.180502636654798,-0.00145202963686537,1.81246112281168
"50",2021-01-11,2024,"Washington",-0.236420999685162,0.0369730978566089,0.0670123024550153,-0.303433302140177,-0.169408697230147,1.81246112281168
"51",2021-01-11,2024,"West Virginia",0.382950493538164,0.0705503476341777,0.127869762287796,0.255080731250368,0.51082025582596,1.81246112281168
"52",2021-01-11,2024,"Wisconsin",-0.0603599458973942,0.0379043291408103,0.0687001229539763,-0.129060068851371,0.0083401770565821,1.81246112281168
"53",2021-01-11,2024,"Wyoming",0.437051901505477,0.074321674925748,0.134705146385166,0.302346755120311,0.571757047890642,1.81246112281168
"54",2021-01-11,2024,"Nebraska CD-1",0.188825810042217,0.052291588286161,0.101611983194493,0.0872138268477241,0.29043779323671,1.9431802805153
"55",2021-01-11,2024,"Nebraska CD-2",0.0290256713248809,0.0846392672058331,0.16446935499164,-0.135443683666759,0.193495026316521,1.9431802805153
"56",2021-01-11,2024,"Nebraska CD-3",0.488527204889664,0.095314060589972,0.185212402994274,0.30331480189539,0.673739607883938,1.9431802805153
