"","run_date","cycle","state","party","vote_share_mu","vote_share_se","vote_share_t_dist","vote_share_start","vote_share_end","vote_share_z"
"38",2021-02-12,2024,"Iowa","rep",0.497366351007382,0.0180137422184774,0.0313368271250458,0.466029523882336,0.528703178132427,1.73960672607507
"39",2021-02-12,2024,"Iowa","other",0.0334440550876512,0.0162020026212971,0.0281851127358943,0.0052589423517569,0.0616291678235456,1.73960672607507
"40",2021-02-12,2024,"Kansas","dem",0.393501700825386,0.0129541289078301,0.0225350897785047,0.370966611046882,0.416036790603891,1.73960672607507
"41",2021-02-12,2024,"Kansas","rep",0.571216470007107,0.0186893501751385,0.0325121192706434,0.538704350736464,0.603728589277751,1.73960672607507
"42",2021-02-12,2024,"Kansas","other",0.0350458233699291,0.0205602487343939,0.0357667469881281,-0.000720923618198976,0.0708125703580572,1.73960672607507
"43",2021-02-12,2024,"Kentucky","dem",0.344117420293205,0.0129402234578003,0.0225108997641039,0.321606520529101,0.366628320057309,1.73960672607507
"44",2021-02-12,2024,"Kentucky","rep",0.632327283921781,0.0174950054333352,0.0304344291245499,0.601892854797231,0.662761713046331,1.73960672607507
"45",2021-02-12,2024,"Kentucky","other",0.0234603792271482,0.0131086260264739,0.0228038540052568,0.000656525221891368,0.046264233232405,1.73960672607507
"46",2021-02-12,2024,"Louisiana","dem",0.397518511287182,0.0154311177811196,0.0268440762828923,0.370674435004289,0.424362587570074,1.73960672607507
"47",2021-02-12,2024,"Louisiana","rep",0.601309538874575,0.0221240249065362,0.0384871025352628,0.562822436339312,0.639796641409838,1.73960672607507
"48",2021-02-12,2024,"Louisiana","other",-0.00156031073161333,0.0220143465749108,0.0382963053718626,-0.039856616103476,0.0367359946402493,1.73960672607507
"49",2021-02-12,2024,"Maine","dem",0.543514088089464,0.0198056136367833,0.0344539786965923,0.509060109392871,0.577968066786056,1.73960672607507
"50",2021-02-12,2024,"Maine","rep",0.412733675765621,0.0245159783762159,0.0426481608795762,0.370085514886045,0.455381836645197,1.73960672607507
"51",2021-02-12,2024,"Maine","other",0.0435236679660693,0.0250917014763902,0.0436496926569963,-0.000126024690926971,0.0871733606230656,1.73960672607507
"52",2021-02-12,2024,"Maryland","dem",0.651974902535997,0.0126203531075843,0.0219544511513962,0.630020451384601,0.673929353687393,1.73960672607507
"53",2021-02-12,2024,"Maryland","rep",0.316514958981513,0.0140633469313563,0.0244646929129146,0.292050266068598,0.340979651894427,1.73960672607507
"54",2021-02-12,2024,"Maryland","other",0.0314373697563947,0.0126011694877845,0.0219210791973618,0.00951629055903283,0.0533584489537565,1.73960672607507
"55",2021-02-12,2024,"Massachusetts","dem",0.642762710539922,0.0172017631187075,0.0299243028216538,0.612838407718269,0.672687013361576,1.73960672607507
"56",2021-02-12,2024,"Massachusetts","rep",0.320877816480802,0.0177372211310362,0.0308557891814315,0.290022027299371,0.351733605662234,1.73960672607507
"57",2021-02-12,2024,"Massachusetts","other",0.0362226515092954,0.0193033234752137,0.0335801913530846,0.00264246015621079,0.06980284286238,1.73960672607507
"58",2021-02-12,2024,"Michigan","dem",0.520030578644966,0.0160907000027867,0.0279914899521038,0.492039088692862,0.54802206859707,1.73960672607507
"59",2021-02-12,2024,"Michigan","rep",0.456707321405286,0.0179872037002691,0.0312906605402705,0.425416660865015,0.487997981945556,1.73960672607507
"60",2021-02-12,2024,"Michigan","other",0.0232439550611689,0.0159099300192783,0.0276770212729203,-0.00443306621175133,0.0509209763340892,1.73960672607507
"61",2021-02-12,2024,"Minnesota","dem",0.507935887370191,0.0127495586207985,0.0221792179312294,0.485756669438962,0.53011510530142,1.73960672607507
"62",2021-02-12,2024,"Minnesota","rep",0.44936721385012,0.0151070637247703,0.0262803496668552,0.423086864183265,0.475647563516976,1.73960672607507
"63",2021-02-12,2024,"Minnesota","other",0.0423902632741442,0.0205830790180761,0.0358064627031798,0.00658380057096439,0.078196725977324,1.73960672607507
"64",2021-02-12,2024,"Mississippi","dem",0.425850940121318,0.0193284343812817,0.0336238744541784,0.39222706566714,0.459474814575496,1.73960672607507
"65",2021-02-12,2024,"Mississippi","rep",0.593649399740397,0.028966765848125,0.0503907807020399,0.543258619038357,0.644040180442437,1.73960672607507
